L1,ID1,L2,ID2
congressionalDistrict,3,stateSenate,11
congressionalDistrict,3,stateSenate,14
congressionalDistrict,5,stateSenate,10
congressionalDistrict,5,stateSenate,11
congressionalDistrict,5,stateSenate,14
congressionalDistrict,5,stateSenate,15
congressionalDistrict,6,stateSenate,10
congressionalDistrict,6,stateSenate,11
congressionalDistrict,6,stateSenate,12
congressionalDistrict,6,stateSenate,13
congressionalDistrict,6,stateSenate,14
congressionalDistrict,6,stateSenate,15
congressionalDistrict,6,stateSenate,16
congressionalDistrict,7,stateSenate,10
congressionalDistrict,7,stateSenate,12
congressionalDistrict,7,stateSenate,15
congressionalDistrict,7,stateSenate,17
congressionalDistrict,7,stateSenate,18
congressionalDistrict,7,stateSenate,19
congressionalDistrict,7,stateSenate,20
congressionalDistrict,7,stateSenate,21
congressionalDistrict,7,stateSenate,22
congressionalDistrict,7,stateSenate,23
congressionalDistrict,7,stateSenate,25
congressionalDistrict,7,stateSenate,26
congressionalDistrict,7,stateSenate,27
congressionalDistrict,8,stateSenate,12
congressionalDistrict,8,stateSenate,15
congressionalDistrict,8,stateSenate,18
congressionalDistrict,8,stateSenate,19
congressionalDistrict,8,stateSenate,20
congressionalDistrict,8,stateSenate,21
congressionalDistrict,8,stateSenate,22
congressionalDistrict,8,stateSenate,23
congressionalDistrict,8,stateSenate,25
congressionalDistrict,8,stateSenate,26
congressionalDistrict,9,stateSenate,17
congressionalDistrict,9,stateSenate,19
congressionalDistrict,9,stateSenate,20
congressionalDistrict,9,stateSenate,21
congressionalDistrict,9,stateSenate,22
congressionalDistrict,9,stateSenate,23
congressionalDistrict,9,stateSenate,25
congressionalDistrict,10,stateSenate,17
congressionalDistrict,10,stateSenate,20
congressionalDistrict,10,stateSenate,21
congressionalDistrict,10,stateSenate,22
congressionalDistrict,10,stateSenate,23
congressionalDistrict,10,stateSenate,25
congressionalDistrict,10,stateSenate,26
congressionalDistrict,10,stateSenate,27
congressionalDistrict,10,stateSenate,29
congressionalDistrict,10,stateSenate,30
congressionalDistrict,10,stateSenate,31
congressionalDistrict,11,stateSenate,17
congressionalDistrict,11,stateSenate,19
congressionalDistrict,11,stateSenate,22
congressionalDistrict,11,stateSenate,23
congressionalDistrict,11,stateSenate,24
congressionalDistrict,12,stateSenate,12
congressionalDistrict,12,stateSenate,15
congressionalDistrict,12,stateSenate,18
congressionalDistrict,12,stateSenate,26
congressionalDistrict,12,stateSenate,27
congressionalDistrict,12,stateSenate,28
congressionalDistrict,12,stateSenate,29
congressionalDistrict,12,stateSenate,30
congressionalDistrict,12,stateSenate,31
congressionalDistrict,13,stateSenate,29
congressionalDistrict,13,stateSenate,30
congressionalDistrict,13,stateSenate,31
congressionalDistrict,13,stateSenate,33
congressionalDistrict,13,stateSenate,34
congressionalDistrict,13,stateSenate,36
congressionalDistrict,14,stateSenate,11
congressionalDistrict,14,stateSenate,12
congressionalDistrict,14,stateSenate,13
congressionalDistrict,14,stateSenate,15
congressionalDistrict,14,stateSenate,16
congressionalDistrict,14,stateSenate,32
congressionalDistrict,14,stateSenate,33
congressionalDistrict,14,stateSenate,34
congressionalDistrict,14,stateSenate,36
congressionalDistrict,15,stateSenate,29
congressionalDistrict,15,stateSenate,32
congressionalDistrict,15,stateSenate,33
congressionalDistrict,15,stateSenate,34
congressionalDistrict,16,stateSenate,34
congressionalDistrict,16,stateSenate,36
fireCompany,1X7X1,municipalCourt,1X3
fireCompany,1X7X1,municipalCourt,1X9
fireCompany,1X1X10,municipalCourt,1X1
fireCompany,1X6X14,municipalCourt,1X9
fireCompany,1X4X15,municipalCourt,1X1
fireCompany,1X4X15,municipalCourt,1X2
fireCompany,8X23X151,municipalCourt,5X2
fireCompany,8X21X152,municipalCourt,5X2
fireCompany,8X21X153,municipalCourt,5X2
fireCompany,8X21X155,municipalCourt,5X1
fireCompany,8X22X156,municipalCourt,5X1
fireCompany,8X22X157,municipalCourt,5X1
fireCompany,8X22X158,municipalCourt,5X1
fireCompany,8X21X159,municipalCourt,5X2
fireCompany,3X8X16,municipalCourt,1X4
fireCompany,3X8X16,municipalCourt,1X9
fireCompany,8X21X160,municipalCourt,5X2
fireCompany,8X21X161,municipalCourt,5X2
fireCompany,8X23X162,municipalCourt,5X2
fireCompany,8X22X163,municipalCourt,5X1
fireCompany,8X22X163,municipalCourt,5X2
fireCompany,8X23X164,municipalCourt,5X2
fireCompany,8X23X165,municipalCourt,5X2
fireCompany,8X22X166,municipalCourt,5X1
fireCompany,8X22X166,municipalCourt,5X2
fireCompany,8X23X167,municipalCourt,5X2
fireCompany,8X23X168,municipalCourt,5X2
fireCompany,8X40X201,municipalCourt,3X5
fireCompany,11X32X202,municipalCourt,3X1
fireCompany,11X32X202,municipalCourt,3X3
fireCompany,11X32X205,municipalCourt,3X1
fireCompany,11X28X206,municipalCourt,3X3
fireCompany,11X31X207,municipalCourt,3X1
fireCompany,11X31X207,municipalCourt,3X3
fireCompany,3X8X21,municipalCourt,1X4
fireCompany,3X8X21,municipalCourt,1X9
fireCompany,11X31X210,municipalCourt,3X1
fireCompany,11X31X210,municipalCourt,3X2
fireCompany,11X31X210,municipalCourt,3X3
fireCompany,11X31X211,municipalCourt,3X3
fireCompany,15X37X214,municipalCourt,3X2
fireCompany,11X35X216,municipalCourt,3X3
fireCompany,11X57X217,municipalCourt,3X2
fireCompany,11X57X217,municipalCourt,3X3
fireCompany,11X57X217,municipalCourt,3X7
fireCompany,11X28X218,municipalCourt,3X3
fireCompany,11X28X218,municipalCourt,3X7
fireCompany,11X57X219,municipalCourt,3X2
fireCompany,11X57X219,municipalCourt,3X6
fireCompany,3X10X22,municipalCourt,1X6
fireCompany,3X10X22,municipalCourt,1X9
fireCompany,11X48X220,municipalCourt,3X1
fireCompany,11X48X220,municipalCourt,3X5
fireCompany,11X48X220,municipalCourt,3X6
fireCompany,11X35X221,municipalCourt,3X3
fireCompany,15X37X222,municipalCourt,3X2
fireCompany,15X37X222,municipalCourt,3X4
fireCompany,11X32X224,municipalCourt,3X1
fireCompany,15X39X225,municipalCourt,3X7
fireCompany,11X31X226,municipalCourt,3X1
fireCompany,15X44X227,municipalCourt,3X4
fireCompany,8X40X228,municipalCourt,3X5
fireCompany,11X35X229,municipalCourt,3X3
fireCompany,3X9X23,municipalCourt,1X3
fireCompany,3X9X23,municipalCourt,1X9
fireCompany,11X57X230,municipalCourt,3X2
fireCompany,11X57X230,municipalCourt,3X3
fireCompany,15X44X231,municipalCourt,3X4
fireCompany,15X44X233,municipalCourt,3X2
fireCompany,15X44X233,municipalCourt,3X4
fireCompany,15X44X233,municipalCourt,3X7
fireCompany,15X38X234,municipalCourt,3X2
fireCompany,15X38X234,municipalCourt,3X4
fireCompany,11X57X235,municipalCourt,3X2
fireCompany,15X39X236,municipalCourt,3X7
fireCompany,11X28X237,municipalCourt,3X3
fireCompany,11X28X238,municipalCourt,3X3
fireCompany,11X48X239,municipalCourt,3X1
fireCompany,11X48X239,municipalCourt,3X5
fireCompany,1X2X24,municipalCourt,1X1
fireCompany,1X2X24,municipalCourt,1X2
fireCompany,11X48X240,municipalCourt,3X5
fireCompany,11X48X240,municipalCourt,3X6
fireCompany,8X40X241,municipalCourt,3X5
fireCompany,8X42X242,municipalCourt,3X5
fireCompany,8X42X243,municipalCourt,3X5
fireCompany,8X43X245,municipalCourt,3X8
